Album_1,Album_2,Album3,Album_4,Album_5,Album_6,Album_7,Album_8,Album_9,Album_10,Album_11,Track_#
10,10,10,10,10,10,10,10,10,10,10,Track_1
20,20,20,20,20,20,20,20,20,20,20,Track_2
0,0,0,30,30,30,30,30,30,30,30,Track_3
0,0,0,30,30,30,30,30,30,30,30,Track_4
0,0,0,30,30,30,30,30,30,30,30,Track_5
0,0,0,30,30,30,30,30,30,30,30,Track_6
0,0,0,30,30,30,30,30,30,30,30,Track_7
0,0,0,30,30,30,30,30,30,30,30,Track_8
0,0,0,30,30,30,30,30,30,30,30,Track_9
0,0,0,30,30,30,30,30,30,30,30,Track_10
0,0,0,30,30,30,30,30,30,30,30,Track_11
